"Name of Satellite, Alternate Names","Current Official Name of Satellite","Country/Org of UN Registry","Country of Operator/Owner",Operator/Owner,Users,Purpose,"Detailed Purpose","Class of Orbit","Type of Orbit","Longitude of GEO (degrees)","Perigee (km)","Apogee (km)",Eccentricity,"Inclination (degrees)","Period (minutes)","Launch Mass (kg.)","Dry Mass (kg.)","Power (watts)","Date of Launch","Expected Lifetime (yrs.)",Contractor,"Country of Contractor","Launch Site","Launch Vehicle","COSPAR Number","NORAD Number",Comments
"Starlink-1962 ","Starlink-1962 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009R,47563,
"Starlink-1963 ","Starlink-1963 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009S,47564,
"Starlink-1964 ","Starlink-1964 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009T,47565,
"Starlink-1965 ","Starlink-1965 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009U,47566,
"Starlink-1966 ","Starlink-1966 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009V,47567,
"Starlink-1967 ","Starlink-1967 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009W,47568,
"Starlink-1968 ","Starlink-1968 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009X,47569,
"Starlink-1969 ","Starlink-1969 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009Y,47570,
"Starlink-1970 ","Starlink-1970 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009Z,47571,
Starlink-1971,Starlink-1971,USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AA,47572,
"Starlink-1972 ","Starlink-1972 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012H,47627,
"Starlink-1973 ","Starlink-1973 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012J,47628,
"Starlink-1974 ","Starlink-1974 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012K,47629,
Starlink-1975,Starlink-1975,USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AB,47573,
"Starlink-1976 ","Starlink-1976 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AC,47574,
"Starlink-1977 ","Starlink-1977 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AD,47575,
"Starlink-1978 ","Starlink-1978 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AE,47576,
"Starlink-1979 ","Starlink-1979 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AF,47577,
"Starlink-1980 ","Starlink-1980 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AG,47578,
"Starlink-1981 ","Starlink-1981 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AH,47579,
"Starlink-1982 ","Starlink-1982 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AJ,47580,
"Starlink-1983 ","Starlink-1983 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012L,47630,
"Starlink-1984 ","Starlink-1984 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AK,47581,
"Starlink-1986 ","Starlink-1986 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AL,47582,
"Starlink-1987 ","Starlink-1987 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AM,47583,
"Starlink-1989 ","Starlink-1989 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AP,47585,
"Starlink-1990 ","Starlink-1990 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AQ,47586,
"Starlink-1991 ","Starlink-1991 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AR,47587,
"Starlink-1992 ","Starlink-1992 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012N,47632,
"Starlink-1993 ","Starlink-1993 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AS,47588,
"Starlink-1994 ","Starlink-1994 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AT,47589,
"Starlink-1995 ","Starlink-1995 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AU,47590,
"Starlink-1996 ","Starlink-1996 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AV,47591,
"Starlink-1997 ","Starlink-1997 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AW,47592,
"Starlink-1998 ","Starlink-1998 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AX,47593,
"Starlink-1999 ","Starlink-1999 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AY,47594,
"Starlink-2000 ","Starlink-2000 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009AZ,47595,
"Starlink-2001 ","Starlink-2001 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BA,47596,
"Starlink-2002 ","Starlink-2002 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BB,47597,
"Starlink-2003 ","Starlink-2003 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BC,47598,
"Starlink-2004 ","Starlink-2004 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BD,47599,
"Starlink-2005 ","Starlink-2005 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BE,47600,
"Starlink-2006 ","Starlink-2006 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BF,47601,
"Starlink-2007 ","Starlink-2007 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BG,47602,
"Starlink-2008 ","Starlink-2008 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BH,47603,
"Starlink-2009 ","Starlink-2009 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012P,47633,
"Starlink-2010 ","Starlink-2010 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012Q,47634,
"Starlink-2011 ","Starlink-2011 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/01/20,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-005B,47350,
"Starlink-2012 ","Starlink-2012 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012R,47635,
"Starlink-2013 ","Starlink-2013 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012S,47636,
"Starlink-2014 ","Starlink-2014 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012T,47637,
"Starlink-2015 ","Starlink-2015 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012U,47638,
"Starlink-2016 ","Starlink-2016 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012V,47639,
"Starlink-2017 ","Starlink-2017 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/01/20,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-005C,47351,
"Starlink-2018 ","Starlink-2018 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012W,47640,
"Starlink-2019 ","Starlink-2019 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012X,47641,
"Starlink-2020 ","Starlink-2020 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012Y,47642,
"Starlink-2021 ","Starlink-2021 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BJ,47604,
"Starlink-2022 ","Starlink-2022 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012Z,47643,
"Starlink-2023 ","Starlink-2023 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BK,47605,
"Starlink-2024 ","Starlink-2024 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BL,47606,
"Starlink-2025 ","Starlink-2025 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-009BM,47607,
"Starlink-2026 ","Starlink-2026 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AA,47644,
"Starlink-2027 ","Starlink-2027 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AB,47645,
"Starlink-2028 ","Starlink-2028 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AC,47646,
"Starlink-2029 ","Starlink-2029 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/04/28,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-036AW,48320,
"Starlink-2030 ","Starlink-2030 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AD,47647,
"Starlink-2031 ","Starlink-2031 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AE,47648,
"Starlink-2032 ","Starlink-2032 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AF,47649,
"Starlink-2033 ","Starlink-2033 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AG,47650,
"Starlink-2034 ","Starlink-2034 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/01/20,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-005D,47352,
"Starlink-2035 ","Starlink-2035 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AH,47651,
"Starlink-2036 ","Starlink-2036 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AJ,47652,
"Starlink-2037 ","Starlink-2037 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AK,47653,
"Starlink-2038 ","Starlink-2038 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AL,47654,
"Starlink-2039 ","Starlink-2039 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AM,47655,
"Starlink-2040 ","Starlink-2040 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AN,47656,
"Starlink-2041 ","Starlink-2041 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AP,47657,
"Starlink-2042 ","Starlink-2042 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AQ,47658,
"Starlink-2043 ","Starlink-2043 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AR,47659,
"Starlink-2044 ","Starlink-2044 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AS,47660,
"Starlink-2045 ","Starlink-2045 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/01/20,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-005E,47353,
"Starlink-2046 ","Starlink-2046 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/01/20,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-005F,47354,
"Starlink-2047 ","Starlink-2047 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/01/20,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-005G,47355,
"Starlink-2048 ","Starlink-2048 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/04/07,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-027A,48092,
"Starlink-2049 ","Starlink-2049 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/01/20,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-005H,47356,
"Starlink-2050 ","Starlink-2050 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/01/20,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-005J,47357,
"Starlink-2051 ","Starlink-2051 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AT,47661,
"Starlink-2052 ","Starlink-2052 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AU,47662,
"Starlink-2053 ","Starlink-2053 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AV,47663,
"Starlink-2054 ","Starlink-2054 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AW,47664,
"Starlink-2055 ","Starlink-2055 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/01/20,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-005K,47358,
"Starlink-2056 ","Starlink-2056 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AX,47665,
"Starlink-2057 ","Starlink-2057 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AY,47666,
"Starlink-2058 ","Starlink-2058 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012AZ,47667,
"Starlink-2059 ","Starlink-2059 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012BA,47668,
"Starlink-2060 ","Starlink-2060 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012BB,47669,
"Starlink-2061 ","Starlink-2061 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/04/28,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-036AN,48312,
"Starlink-2062 ","Starlink-2062 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012BC,47670,
Starlink-2063,Starlink-2063,USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,564,582,0.001296269624081809,53,95.6,260,,,2021/05/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-041A,48553,
"Starlink-2064 ","Starlink-2064 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012BD,47671,
"Starlink-2065 ","Starlink-2065 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012BE,47672,
"Starlink-2066 ","Starlink-2066 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012BF,47673,
"Starlink-2067 ","Starlink-2067 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/02/15,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-012BG,47674,
"Starlink-2068 ","Starlink-2068 ",USA,USA,SpaceX,Commercial,Communications,,LEO,"Non-Polar Inclined",0,548,561,0.0009386959347245288,53,95.6,260,,,2021/03/04,4,SpaceX,USA,"Cape Canaveral","Falcon 9",2021-017A,47722,
